,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
281,Le Queen Barcelona,"Carrer dels Escudellers, 5, Ciutat Vella, 08002 Barcelona, Spain",3.7,154,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Barcelona
282,El Manisero de la Salsa,"Carrer del Miño, 9, 08223 Terrassa, Barcelona, Spain",4.5,455,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Barcelona
283,Nit Bar,"Carrer de Juan de Garay, 5, Sant Andreu, 08041 Barcelona, Spain",3.9,221,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1.0,Bachata,Barcelona
284,Otto Zutz Club,"Carrer de Lincoln, 15, Sarrià-Sant Gervasi, 08006 Barcelona, Spain",3.3,4835,"['night_club', 'point_of_interest', 'establishment']",3.0,Bachata,Barcelona
285,Habana Barcelona,"Pg. de Joan de Borbó, 74, Ciutat Vella, 08039 Barcelona, Spain",3.7,149,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Bachata,Barcelona
286,Ocean Barcelona,"Carrer de Balmes, 32, L'Eixample, 08007 Barcelona, Spain",3.7,141,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Barcelona
287,Morena Barcelona,"Carrer 11, 29, 08860 Castelldefels, Barcelona, Spain",2.4,110,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Barcelona
288,Escola de dansa i batxata Marcant el pas,"Carrer de la Lluna, 29, Ciutat Vella, 08001 Barcelona, Spain",4.9,126,"['point_of_interest', 'establishment']",,Bachata,Barcelona
289,School Dances Latines Salsanueva,"32 Rue du Capitaine Marchal, 75020 Paris, France",4.9,266,"['point_of_interest', 'establishment']",,Bachata,Paris
290,La Pachanga,"8 Rue Vandamme, 75014 Paris, France",3.6,590,"['night_club', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Bachata,Paris
291,Canela Club,"77 Rue du Faubourg du Temple, 75010 Paris, France",3.5,147,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Paris
292,Studio Massaro - School Dances Latines - Paris Nation,"290 Bd Voltaire, 75011 Paris, France",4.4,311,"['point_of_interest', 'establishment']",,Bachata,Paris
293,Salsero Pub Latino,"9 Rue du Petit Pont, 75005 Paris, France",3.7,1062,"['bar', 'point_of_interest', 'establishment']",2.0,Bachata,Paris
294,Salsabor Paris,"31 Rue Chapon, 75003 Paris, France",4.9,118,"['point_of_interest', 'establishment']",,Bachata,Paris
295,Bachata - Equis,"10 Rue des Terres au Curé, 75013 Paris, France",4.8,5,"['point_of_interest', 'establishment']",,Bachata,Paris
296,"Evoke Paris Dance, Salsa, Bachata, Burlesque, Ballroom, Wedding Choreoraphies, Classes & lessons","14 Rue de Châteaudun, 75009 Paris, France",5.0,20,"['school', 'point_of_interest', 'establishment']",,Bachata,Paris
297,Bachata Vibe Paris,"10 Rue des Terres au Curé, 75013 Paris, France",5.0,27,"['point_of_interest', 'establishment']",,Bachata,Paris
298,Ecole Danses Latines-Tropicales Salsadanse.com,"40 Rue de Cîteaux, 75012 Paris, France",4.7,257,"['point_of_interest', 'establishment']",,Bachata,Paris
299,Salsalianza _ Studio Bleu,"Entrée entre DEVREDetLCL _ deuxième sous-sol, 14 Bd Poissonnière, 75009 Paris, France",4.7,57,"['point_of_interest', 'establishment']",,Bachata,Paris
300,Le Balajo,"9 Rue de Lappe, 75011 Paris, France",3.5,1548,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Paris
301,SALSA CON ELEGUA,"1 Av. Pierre Masse, 75014 Paris, France",4.9,321,"['point_of_interest', 'establishment']",,Bachata,Paris
302,"Vueltasol - Course Dances Latines Salsa Bachata Particuliers, Bal Mariage, Workshops Business & Events","79 Rue de la Croix Nivert, 75015 Paris, France",5.0,13,"['point_of_interest', 'establishment']",,Bachata,Paris
303,Sbk92 Salsa-Bachata-Kizomba Tous Niveaux Course Collectifs / Cours Particuliers. Suresnes,"51 Rue Merlin de Thionville, 92150 Suresnes, France",5.0,80,"['point_of_interest', 'establishment']",,Bachata,Paris
304,Bachamia,"105 Rue de Tolbiac, 75013 Paris, France",4.4,33,"['point_of_interest', 'establishment']",,Bachata,Paris
305,Para La Salsa,"8 Rue de Bièvre, 75005 Paris, France",5.0,24,"['point_of_interest', 'establishment']",,Bachata,Paris
306,Pub,"40 Rue de la Huchette, 75005 Paris, France",3.5,627,"['bar', 'point_of_interest', 'establishment']",,Bachata,Paris
307,CLUB VENDOME,"9 Rue Daunou, 75002 Paris, France",3.8,514,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,Paris
308,Saida Kizomba Course Dance Kizomba Paris,"105 Rue de Tolbiac, 75013 Paris, France",5.0,24,"['school', 'point_of_interest', 'establishment']",,Bachata,Paris
309,Bachata Studio - Clases de Salsa y Bachata,"Ca, C. 2 de Mayo 524, Miraflores, Peru",5.0,142,"['school', 'point_of_interest', 'establishment']",,Bachata,Lima
310,Casa de la Salsa,"Jaime, Lima 169, La Victoria 15033, Peru",4.2,348,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Lima
311,Bachata Club.,"Av. Javier Prado Este 1179, La Victoria 15034, Peru",4.7,3,"['point_of_interest', 'establishment']",,Bachata,Lima
312,Karamba Latin Disco,"Av Industrial 3677, Independencia 15311, Peru",4.2,371,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Lima
313,La Casona de Camana,"Jr. Camaná 975, Lima 15001, Peru",3.9,4565,"['bar', 'point_of_interest', 'establishment']",,Bachata,Lima
314,Perú Tropical Dance - San Miguel,"Av. de la Marina 2927, San Miguel 15087, Peru",4.8,34,"['point_of_interest', 'establishment']",,Bachata,Lima
315,Larco Club,"Av. José Larco 760, Miraflores 15074, Peru",4.2,57,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Lima
316,Son de Cuba,"Pje. San Ramón 277, Miraflores 15074, Peru",4.1,882,"['point_of_interest', 'establishment']",,Bachata,Lima
317,Discoteca Bamboleo,"Av. Calca 187, Ate 15012, Peru",4.0,351,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Lima
318,Nebula,"Gonzáles Prada 194, Miraflores 15074, Peru",4.2,659,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Lima
319,Pasión Latina Lima Centro - Clases de Salsa y Bachata,"Av. Canadá 273, La Victoria 15034, Peru",5.0,37,"['point_of_interest', 'establishment']",,Bachata,Lima
320,Dance School Rits,"a la altura de la, altura del hospital rebaliategui, Jr. Manuel Ascencio Segura 122, Lince 15046, Peru",4.9,59,"['point_of_interest', 'establishment']",,Bachata,Lima
321,Academia de baile Rumba Latina,"Av. San Luis 1881, San Borja 15021, Peru",4.8,37,"['school', 'point_of_interest', 'establishment']",,Bachata,Lima
322,MAsalsa,"Av. Tomas Marsano 2455, Surquillo 15048, Peru",4.8,22,"['point_of_interest', 'establishment']",,Bachata,Lima
323,Sargento Pimienta Rock Bar,"Av. Francisco Bolognesi 757, Barranco 15063, Peru",4.4,1233,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Bachata,Lima
324,ESCUELA DE SALSA Y BACHATA - TOQUE LATINO DANCE,"C. Manuel Tovar 255, Miraflores 15074, Peru",5.0,5,"['point_of_interest', 'establishment']",,Bachata,Lima
325,Academia de baile Rumba Latina,"05140, Santiago de Surco 15023, Peru",4.9,98,"['point_of_interest', 'establishment']",,Bachata,Lima
326,Salsambo,"Av. Jorge Chavez 921, Santiago de Surco 15049, Peru",5.0,14,"['point_of_interest', 'establishment']",,Bachata,Lima
327,Bachata en la Terraza,"Calle Santa María Reina 392 Mz U1 Lt 48, San Martín de Porres 15113, Peru",5.0,17,"['point_of_interest', 'establishment']",,Bachata,Lima
328,Bachata 69,"Plaza de Armas de Los Olivos, Jirón Cesar Vallejo, Los Olivos 15301, Peru",0.0,0,"['point_of_interest', 'establishment']",,Bachata,Lima
329,La Topa Tolondra Nightclub,"Cl. 5 #13-27, COMUNA 3, Cali, Valle del Cauca, Colombia",4.7,8946,"['night_club', 'bar', 'point_of_interest', 'establishment']",1.0,Bachata,"Cali, Colombia"
330,Son Caribe Club Discotheque,"Cra. 23b #7-80, La Alameda, Cali, Valle del Cauca, Colombia",4.5,445,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,"Cali, Colombia"
331,SaBaKi Night,"Cl. 5 #12-40, COMUNA 3, Cali, Valle del Cauca, Colombia",4.8,24,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
332,MalaMaña Salsa Bar,"Cra. 4 #9-59, San Pedro, Cali, Valle del Cauca, Colombia",4.6,1640,"['bar', 'point_of_interest', 'establishment']",1.0,Bachata,"Cali, Colombia"
333,Donde Fabio Club,"Cl. 20 #3-14, San Nicolas, Cali, Valle del Cauca, Colombia",4.4,372,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2.0,Bachata,"Cali, Colombia"
334,Zaperoco Bar,"Av. 5 Nte. #16-46, San Vicente, Cali, Valle del Cauca, Colombia",4.6,1405,"['bar', 'night_club', 'point_of_interest', 'establishment']",2.0,Bachata,"Cali, Colombia"
335,La Caldera del Diablo,"Cl. 5 #14-35, COMUNA 3, Cali, Valle del Cauca, Colombia",4.6,853,"['bar', 'point_of_interest', 'establishment']",1.0,Bachata,"Cali, Colombia"
336,Casa Latina,"Cl. 7 #27-38, La Alameda, Cali, Valle del Cauca, Colombia",4.9,141,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
337,El Rincón De Heberth,"Cra. 24 #5-32, 3 de Julio, Cali, Valle del Cauca, Colombia",4.6,228,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,"Cali, Colombia"
338,DUBAI NIGHT CLUB,"Cra. 8 #94-330, Juanchito, Juanchito Guali, Cali, Valle del Cauca, Colombia",4.4,445,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,"Cali, Colombia"
339,SalsaPura - Dance without borders,"Cl. 4 #6-61, COMUNA 3, Cali, Valle del Cauca, Colombia",4.8,86,"['point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
340,Tibiri Tabara Cali,"Cra. 40 #11-81, Acopi, Yumbo, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",4.5,139,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
341,SALSA SWING Escuela de Baile Salsa&Bachata/AeroRUMBA/Bailoterapia/Zumba en Cali,"Cl. 42 #83c32 Local 301, Comuna 17, Cali, Valle del Cauca, Colombia",4.7,40,"['point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
342,club cali,"Carrera 56,Avenida Guaddupe, Santa Anita, Cali, Valle del Cauca, Colombia",3.4,5,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
343,Living Night Club,"Cra. 40 #11-81, Acopi, Cali, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",4.5,4734,"['night_club', 'point_of_interest', 'establishment']",3.0,Bachata,"Cali, Colombia"
344,Saoko Social Club,"Cra. 46 #38a-03, Republica De Israel, Cali, Valle del Cauca, Colombia",4.7,26,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
345,El Escondite,"Cra. 37a #5-14, San Fernando, Cali, Valle del Cauca, Colombia",4.2,1627,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,"Cali, Colombia"
346,Salsa Pa'l 23,"Cra. 23 # 12 - 41, Bretana, Cali, Valle del Cauca, Colombia",4.8,12,"['night_club', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
347,Salsa School Rumba y Salsa,"Cl. 5 #13 - 83, COMUNA 3, Cali, Valle del Cauca, Colombia",5.0,551,"['school', 'point_of_interest', 'establishment']",,Bachata,"Cali, Colombia"
348,Social Cali,"Cl. 2 #2-43, COMUNA 3, Cali, Valle del Cauca, Colombia",4.4,902,"['bar', 'point_of_interest', 'establishment']",3.0,Bachata,"Cali, Colombia"
349,Buenos Aires Dance Club,"Riobamba 72, C1022AAP Cdad. Autónoma de Buenos Aires, Argentina",4.9,542,"['school', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
350,Salsódromo MUNDO LATINO,"Esmeralda 565, C1007 ABC, Cdad. Autónoma de Buenos Aires, Argentina",3.8,456,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Buenos Aires
351,El Rumbon. Salsa y Bachata,"Riobamba 345, C1025ABG Cdad. Autónoma de Buenos Aires, Argentina",4.5,413,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
352,La Salsera,"Yatay 961, C1184ADQ Cdad. Autónoma de Buenos Aires, Argentina",4.4,1851,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
353,COMPLEJO REY,"Perú 342, C1067 AAH, Cdad. Autónoma de Buenos Aires, Argentina",3.9,2393,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Buenos Aires
354,Gaby Salsa Club,"Av. Hipólito Yrigoyen 3140, B1824AAY Buenos Aires, Provincia de Buenos Aires, Argentina",4.8,113,"['school', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
355,La Catedral Club,"Sarmiento 4006, C1197AAH Cdad. Autónoma de Buenos Aires, Argentina",4.2,1981,"['night_club', 'point_of_interest', 'establishment']",1.0,Bachata,Buenos Aires
356,CALI LATINO ACADEMIA DE BAILE,"Av. Hipólito Yrigoyen 1173, C1086AAO Cdad. Autónoma de Buenos Aires, Argentina",5.0,75,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
357,Club 69,"Cnel. Niceto Vega 5510, C1414BFD Cdad. Autónoma de Buenos Aires, Argentina",4.4,580,"['night_club', 'point_of_interest', 'establishment']",2.0,Bachata,Buenos Aires
358,Swing City,"Av. Raúl Scalabrini Ortiz 103, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.9,392,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Bachata,Buenos Aires
359,LILA SALSA & BACHATA,"Maza 457, C1206 Cdad. Autónoma de Buenos Aires, Argentina",4.5,2,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
360,STUDIO1270 Multiespacio Art and Dance,"Av. Monroe 2027, C1428BLH Cdad. Autónoma de Buenos Aires, Argentina",4.9,221,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
361,EL BARCITO BACHATERO sede floresta,"Av. Rivadavia 7927, C1407DYB Cdad. Autónoma de Buenos Aires, Argentina",4.4,26,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
362,Latino 11,"Ecuador 60, C1214ABB C1214ABB, Cdad. Autónoma de Buenos Aires, Argentina",4.5,93,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
363,"""Club Gricel"" Tango Argentina","La Rioja 1180, C1221 Cdad. Autónoma de Buenos Aires, Argentina",4.5,637,"['point_of_interest', 'establishment']",2.0,Bachata,Buenos Aires
364,La City,"Av. Álvarez Thomas 1391, C1427 Cdad. Autónoma de Buenos Aires, Argentina",4.2,5786,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
365,Salsa Casino Con Swing y Tradicion,"Av. Santa Fé 2520 Primer Piso. PKR, 1425 Buenos Aires, Argentina",5.0,9,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
366,Buenos Ayres Club,"Perú 571, C1068 Cdad. Autónoma de Buenos Aires, Argentina",4.4,192,"['night_club', 'point_of_interest', 'establishment']",,Bachata,Buenos Aires
367,Rumba Caribeña,"Acevedo 768, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.6,22,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
368,Kadenza Escuela de Baile,"Tte. Gral. Juan Domingo Perón 1658, C1037 ACF, Cdad. Autónoma de Buenos Aires, Argentina",4.7,435,"['point_of_interest', 'establishment']",,Bachata,Buenos Aires
