,name,formatted_address,rating,user_ratings_total,types,price_level,dance_type,city
164,Tibiri Tabara Cali,"Cra. 40 #11-81, Acopi, Yumbo, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",4.5,139,"['night_club', 'point_of_interest', 'establishment']",,Salsa,"Cali, Colombia"
165,Zaperoco Bar,"Av. 5 Nte. #16-46, San Vicente, Cali, Valle del Cauca, Colombia",4.6,1405,"['bar', 'night_club', 'point_of_interest', 'establishment']",2.0,Salsa,"Cali, Colombia"
166,EL BRONXS,"Cl. 5 #26-49, 3 de Julio, Cali, Valle del Cauca, Colombia",4.4,341,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,"Cali, Colombia"
167,Cimarrón Salsa Bar,"Cl. 4 #1-113, COMUNA 3, Cali, Valle del Cauca, Colombia",4.6,603,"['bar', 'point_of_interest', 'establishment']",2.0,Salsa,"Cali, Colombia"
168,Donde Fabio Club,"Cl. 20 #3-14, San Nicolas, Cali, Valle del Cauca, Colombia",4.4,372,"['night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2.0,Salsa,"Cali, Colombia"
169,Living Night Club,"Cra. 40 #11-81, Acopi, Cali, Arroyo Hondo, Yumbo, Valle del Cauca, Colombia",4.5,4734,"['night_club', 'point_of_interest', 'establishment']",3.0,Salsa,"Cali, Colombia"
170,Carpa Delirio Salsa + Circo + Orquesta | Espectáculo de Salsa Formato Cabaret en Cali,"Eventos Valle del Pacífico, Cra. 26 # 12 - 328 Centro de, Cali, Valle del Cauca, Colombia",4.8,1569,"['point_of_interest', 'establishment']",,Salsa,"Cali, Colombia"
171,Casa Latina,"Cl. 7 #27-38, La Alameda, Cali, Valle del Cauca, Colombia",4.9,141,"['night_club', 'point_of_interest', 'establishment']",,Salsa,"Cali, Colombia"
172,DUBAI NIGHT CLUB,"Cra. 8 #94-330, Juanchito, Juanchito Guali, Cali, Valle del Cauca, Colombia",4.4,445,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,"Cali, Colombia"
173,El Escondite,"Cra. 37a #5-14, San Fernando, Cali, Valle del Cauca, Colombia",4.2,1627,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,"Cali, Colombia"
174,Lolas Club Colombia,"Carrera 32A, Yumbo, Antigua Carretera a Yumbo, Yumbo, Valle del Cauca, Colombia",4.2,1727,"['night_club', 'bar', 'point_of_interest', 'establishment']",3.0,Salsa,"Cali, Colombia"
175,Salsódromo MUNDO LATINO,"Esmeralda 565, C1007 ABC, Cdad. Autónoma de Buenos Aires, Argentina",3.8,456,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
176,Buenos Aires Dance Club,"Riobamba 72, C1022AAP Cdad. Autónoma de Buenos Aires, Argentina",4.9,542,"['school', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
177,La Salsera,"Yatay 961, C1184ADQ Cdad. Autónoma de Buenos Aires, Argentina",4.4,1851,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
178,El Rumbon. Salsa y Bachata,"Riobamba 345, C1025ABG Cdad. Autónoma de Buenos Aires, Argentina",4.5,413,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
179,La City,"Av. Álvarez Thomas 1391, C1427 Cdad. Autónoma de Buenos Aires, Argentina",4.2,5786,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
180,La Catedral Club,"Sarmiento 4006, C1197AAH Cdad. Autónoma de Buenos Aires, Argentina",4.2,1981,"['night_club', 'point_of_interest', 'establishment']",1.0,Salsa,Buenos Aires
181,The Touch Cimarron,"Perú 571, C1068AAA Cdad. Autónoma de Buenos Aires, Argentina",4.5,714,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
182,Buenos Ayres Club,"Perú 571, C1068 Cdad. Autónoma de Buenos Aires, Argentina",4.4,192,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
183,COMPLEJO REY,"Perú 342, C1067 AAH, Cdad. Autónoma de Buenos Aires, Argentina",3.9,2393,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
184,Your Club Disco,"Suipacha 586, C1008 AAL, Cdad. Autónoma de Buenos Aires, Argentina",3.8,500,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
185,Club 69,"Cnel. Niceto Vega 5510, C1414BFD Cdad. Autónoma de Buenos Aires, Argentina",4.4,580,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
186,Swing City,"Av. Raúl Scalabrini Ortiz 103, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.9,392,"['night_club', 'bar', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
187,Goa La France,"Sarmiento 1662, C1042ABF Cdad. Autónoma de Buenos Aires, Argentina",4.1,1950,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
188,LVT,"Armenia 1366 1er subsuelo, C1414DKD Cdad. Autónoma de Buenos Aires, Argentina",4.4,766,"['school', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
189,Gaby Salsa Club,"Av. Hipólito Yrigoyen 3140, B1824AAY Buenos Aires, Provincia de Buenos Aires, Argentina",4.8,113,"['school', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
190,Latino 11,"Ecuador 60, C1214ABB C1214ABB, Cdad. Autónoma de Buenos Aires, Argentina",4.5,93,"['night_club', 'point_of_interest', 'establishment']",,Salsa,Buenos Aires
191,BLISS CLUB,"Avenida Niceto vegas, Cnel. Niceto Vega 5642, C1414BFF, Argentina",3.9,791,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
192,Lo de Celia Tango Club,"Humberto 1º 1783, C1454 Cdad. Autónoma de Buenos Aires, Argentina",4.5,413,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
193,Academia BailaBA,"Av. Raúl Scalabrini Ortiz 540, C1414DNS Cdad. Autónoma de Buenos Aires, Argentina",4.4,141,"['point_of_interest', 'establishment']",,Salsa,Buenos Aires
194,Glam Disco,"José A. Cabrera 3046, C1186 Cdad. Autónoma de Buenos Aires, Argentina",4.1,2586,"['night_club', 'point_of_interest', 'establishment']",2.0,Salsa,Buenos Aires
195,Club Cache,"214 W 39th St, New York, NY 10018, United States",3.9,261,"['night_club', 'point_of_interest', 'establishment']",,Bachata,New York
196,Deseos Lounge,"52-15 Roosevelt Ave, Woodside, NY 11377, United States",4.1,175,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Bachata,New York
197,Gonzalez y Gonzalez,"192 Mercer St, New York, NY 10012, United States",4.1,1820,"['restaurant', 'night_club', 'point_of_interest', 'food', 'establishment']",2.0,Bachata,New York
198,Somos Latin Dance,"305 W 38th St 2nd floor, New York, NY 10018, United States",4.9,22,"['point_of_interest', 'establishment']",,Bachata,New York
199,LVG Salsa Social NYC,"617 W 46th St, New York, NY 10036, United States",4.9,39,"['point_of_interest', 'establishment']",,Bachata,New York
200,Salsa y Sazon,"370 E 146th St, Bronx, NY 10455, United States",4.3,127,"['night_club', 'bar', 'point_of_interest', 'establishment']",,Bachata,New York
201,Salsa Sabrosa,"410-412 8th Ave 4th Floor, New York, NY 10001, United States",5.0,244,"['point_of_interest', 'establishment']",,Bachata,New York
202,KS Bachata Sensual NYC - Art of Bachata Sensual,"38W W 32nd St #405, New York, NY 10001, United States",4.9,165,"['point_of_interest', 'establishment']",,Bachata,New York
203,Salsamania Saturdays,"224 W 35th St, New York, NY 10001, United States",4.8,93,"['point_of_interest', 'establishment']",,Bachata,New York
204,Salsamania Saturdays,"37 W 37th St, New York, NY 10018, United States",4.5,2,"['night_club', 'point_of_interest', 'establishment']",,Bachata,New York
205,Joel Salsa,"38 W 32nd St 4th floor, New York, NY 10001, United States",5.0,456,"['point_of_interest', 'establishment']",,Bachata,New York
206,Bachata Classes In NYC- Bachatwins,"240 W 37th St 2nd Floor, New York, NY 10018, United States",5.0,104,"['point_of_interest', 'establishment']",,Bachata,New York
